rm,Label,Code,pixels_removed,old_pixel_count,new_pixel_count,old_per_pixel,new_per_pixel,target_per_pixel,reduction_pct,masc_biomass_total
WHITEHEAD,Spring wheat,146,4645,167428,162782,0.07968218949437372,0.08195598695586136,0.08195611205843584,2.774561295002349,13341.04142463598
WINNIPEG,Spring wheat,146,3926,20369,16442,0.06615828972965204,0.08195459439403881,0.08195611205843584,19.275953839195946,1347.57939562118
ALEXANDER,Corn,147,976,3910,2933,0.1377888476757246,0.18362470041387113,0.1836466504017533,24.97067200828775,538.7548710142979
ALONSA,Corn,147,3580,33502,29921,0.164020783367798,0.18364511548329757,0.1836466504017533,10.686754694964984,5495.029145491229
CARTIER,Corn,147,12294,44661,32366,0.1330922493494097,0.18364501518543713,0.1836466504017533,27.528082293768296,5944.0382065070435
COLDWELL,Corn,147,6,5016,5009,0.18341425925243787,0.18363407949735613,0.1836466504017533,0.1265425472269935,920.0067382817542
CORNWALLIS,Corn,147,4384,18828,14443,0.1408825915107048,0.1836430199042518,0.1836466504017533,23.286054386233562,2652.539779497013
DUFFERIN,Corn,147,13422,193319,179896,0.1708958001977144,0.18364638890332663,0.1836466504017533,6.94314335499429,33037.43442454175
ELLICE-ARCHIE,Corn,147,2302,27807,25504,0.1684420324135683,0.18364523579093975,0.1836466504017533,8.279278688134367,4683.871738847918
EMERSON-FRANKLIN,Corn,147,20480,83703,63222,0.13871127227112157,0.18364455805695024,0.1836466504017533,24.46838972141836,11610.559894034564
GREY,Corn,147,28604,115492,86887,0.13816125259705705,0.1836448473974657,0.1836466504017533,24.767888608471985,15956.533500671
HILLSBURG-ROBLIN-SHELL RIVER,Corn,147,2,16611,16608,0.18361400517639873,0.1836362778096002,0.1836466504017533,0.01777610715095772,3050.01493813965
KILLARNEY-TURTLE MTN,Corn,147,4942,55443,50500,0.1672746327352261,0.18364419847228128,0.1836466504017533,8.914955775512954,9274.215667048677
MACDONALD,Corn,147,1359,57675,56315,0.17931712081929047,0.18364450764033077,0.1836466504017533,2.3575325621193546,10342.124092272868
MORRIS,Corn,147,10027,65902,55874,0.15570359832227107,0.18364541591150307,0.1836466504017533,15.21566117233982,10261.187614055234
NORFOLK-TREHERNE,Corn,147,56,82825,82768,0.18352123309440896,0.18364556268240695,0.1836466504017533,0.06829272794792383,15200.15957766014
NORTH NORFOLK,Corn,147,43848,203766,159918,0.14412797530908877,0.18364666264708213,0.1836466504017533,21.518865171900366,29368.40699719608
OAKLAND-WAWANESA,Corn,147,10164,36144,25979,0.13199979529246905,0.18369094142593959,0.1836466504017533,28.122949695134313,4771.004821655929
PORTAGE LA PRAIRIE,Corn,147,19855,119597,99741,0.15315735753374088,0.18364557250712424,0.1836466504017533,16.602150271356834,18317.176693005586
RHINELAND,Corn,147,5183,200124,194940,0.17888979674073235,0.18364619732679016,0.1836466504017533,2.5902207585135075,35800.1733530818
