rm,Label,current_pixels,target_pixels,pixels_to_remove,reduction_pct,current_per_pixel,target_per_pixel,new_per_pixel,masc_biomass_total
MCCREARY,Oats,10037,9960,76,0.7634540517481156,0.07536274798125131,0.07594253433664462,0.07594253433664462,756.4330009587572
NORTH NORFOLK,Oats,34994,34550,443,1.2686408414492776,0.07497909633001831,0.07594253433664462,0.07594253433664462,2623.84303829412
PINEY,Oats,11189,9267,1921,17.172119031946455,0.0629015919444792,0.07594253433664462,0.07594253433664462,703.8078133474895
PIPESTONE,Oats,33386,29464,3921,11.744803208232657,0.0670232331274612,0.07594253433664462,0.07594253433664462,2237.6396406910826
PORTAGE LA PRAIRIE,Oats,46289,43934,2354,5.086854049385412,0.07207944845353512,0.07594253433664462,0.07594253433664462,3336.4885410451766
RITCHOT,Oats,15763,14508,1254,7.957476190180845,0.06989942524858621,0.07594253433664462,0.07594253433664462,1101.825614908602
ROSSER,Oats,27104,26224,879,3.243208325396718,0.07347955974052131,0.07594253433664462,0.07594253433664462,1991.5917490418112
SIFTON,Oats,14168,13361,806,5.695543823892106,0.07161719401252671,0.07594253433664462,0.07594253433664462,1014.7314261841842
SOURIS-GLENWOOD,Oats,21370,18150,3219,15.067508516901517,0.06449988650751984,0.07594253433664462,0.07594253433664462,1378.3637940165988
SPRINGFIELD,Oats,46038,38623,7414,16.105844302407522,0.06371134799708227,0.07594253433664462,0.07594253433664462,2933.145633857312
ST. ANDREWS,Oats,16949,13638,3310,19.53474842534848,0.06110735130614721,0.07594253433664462,0.07594253433664462,1035.7094135142227
STANLEY,Oats,33982,33709,272,0.8007944746157198,0.07533439071779362,0.07594253433664462,0.07594253433664462,2560.0155300551987
STE. ANNE,Oats,8057,7424,632,7.855234177300721,0.06997707042432418,0.07594253433664462,0.07594253433664462,563.8057551719206
TACHE,Oats,21979,20216,1762,8.018300376376231,0.06985323382009981,0.07594253433664462,0.07594253433664462,1535.3055843193067
TWO BORDERS,Oats,146979,122199,24779,16.859241164540844,0.06313919932636547,0.07594253433664462,0.07594253433664462,9280.144587344344
VICTORIA,Oats,14497,14099,397,2.744194508376828,0.07385852347985623,0.07594253433664462,0.07594253433664462,1070.727962092495
WALLACE-WOODWORTH,Oats,26151,25267,883,3.380023637128328,0.07337565872543174,0.07594253433664462,0.07594253433664462,1918.894352084565
WEST INTERLAKE,Oats,4387,3712,674,15.38518597749168,0.06425863419293136,0.07594253433664462,0.07594253433664462,281.9028775859603
WEST ST. PAUL,Oats,6223,4949,1273,20.46597265697273,0.0604001560242948,0.07594253433664462,0.07594253433664462,375.8705034479471
WOODLANDS,Oats,31869,30038,1831,5.745509031492191,0.07157924916758865,0.07594253433664462,0.07594253433664462,2281.221923222669
ALONSA,Rye,2796,2201,594,21.26334208092279,0.08241204275632662,0.10466794620750455,0.10466794620750455,230.4242753884099
EMERSON-FRANKLIN,Rye,2401,2006,394,16.41122169141406,0.08749065751554097,0.10466794620750455,0.10466794620750455,210.06525452620193
GLENBORO-SOUTH CYPRESS,Rye,17529,17333,195,1.1141287600848482,0.1035018105162166,0.10466794620750455,0.10466794620750455,1814.2848415213232
GLENELLA-LANSDOWNE,Rye,6756,6394,361,5.347766785494108,0.09907054854516079,0.10466794620750455,0.10466794620750455,669.3212180770751
HANOVER,Rye,3179,3107,71,2.2426849670384446,0.10232057391260097,0.10466794620750455,0.10466794620750455,325.27739222040685
NORTH CYPRESS-LANGFORD,Rye,51755,44594,7160,13.835573353295722,0.09018653573257715,0.10466794620750455,0.10466794620750455,4667.608285976111
OAKVIEW,Rye,2167,2006,160,7.385022280150058,0.09693819505990486,0.10466794620750455,0.10466794620750455,210.06525452620193
PIPESTONE,Rye,4853,4319,533,10.993160180182548,0.09316163122360627,0.10466794620750455,0.10466794620750454,452.1137962845201
RITCHOT,Rye,1455,1100,354,24.34787094785571,0.07918352974113031,0.10466794620750455,0.10466794620750455,115.21213769420496
ROLAND,Rye,5569,4834,734,13.18824688930951,0.09086407904768917,0.10466794620750455,0.10466794620750455,506.02250386254946
SOURIS-GLENWOOD,Rye,10388,9323,1064,10.251105749965859,0.09393832435545588,0.10466794620750455,0.10466794620750455,975.8321766612208
STANLEY,Rye,7259,5114,2144,29.54027259833316,0.073748749574731,0.10466794620750455,0.10466794620750455,535.3426467466088
